Date,Open,High,Low,Close,Adj Close,Volume
2018-05-28,19.200001,19.200001,16.910000,16.910000,5.785539,134504900
2018-05-29,18.000000,19.440001,17.600000,19.299999,6.603246,181509800
2018-05-30,18.389999,19.969999,18.129999,18.980000,6.493763,125430000
2018-06-01,19.559999,19.750000,14.900000,16.160000,5.528935,216954700
2018-06-04,17.290001,17.639999,17.049999,17.530001,5.997663,93547600
2018-06-05,17.360001,17.799999,16.590000,16.590000,5.676054,67006400
2018-06-06,16.469999,16.680000,15.870000,16.330000,5.587099,69496800
2018-06-07,16.000000,16.160000,14.930000,15.760000,5.392081,118752700
2018-06-08,15.810000,16.190001,15.060000,15.250000,5.217591,91461500
2018-06-11,15.500000,15.800000,15.130000,15.410000,5.272333,44872500
2018-06-12,15.480000,15.680000,15.240000,15.460000,5.289441,69592600
2018-06-13,15.420000,15.500000,14.740000,15.170000,5.190220,72301200
2018-06-14,15.330000,15.550000,15.050000,15.100000,5.166269,57324600
2018-06-15,15.030000,15.070000,14.470000,14.970000,5.121793,75239300
2018-06-18,14.770000,14.890000,14.500000,14.500000,4.960989,47363800
2018-06-19,14.260000,15.720000,14.170000,15.420000,5.275754,97301500
2018-06-20,15.840000,16.480000,15.800000,16.209999,5.546042,88397300
2018-06-21,16.090000,16.320000,15.100000,15.100000,5.166269,67884300
2018-06-22,15.410000,15.680000,15.010000,15.110000,5.169691,52184500
2018-06-25,15.200000,15.790000,15.060000,15.700000,5.371552,60347200
2018-06-26,15.900000,16.120001,15.530000,16.040001,5.487880,59595900
2018-06-27,16.100000,16.980000,16.059999,16.549999,5.662369,78095000
2018-06-28,16.719999,17.070000,16.330000,16.600000,5.679476,94960700
2018-06-29,16.850000,17.190001,16.730000,17.190001,5.881337,75735100
2018-07-02,16.990000,17.480000,16.900000,17.469999,5.977134,54545600
2018-07-03,17.740000,17.889999,17.459999,17.500000,5.987399,57456700
2018-07-04,17.379999,18.450001,17.240000,17.610001,6.025034,54211000
2018-07-05,18.600000,18.799999,17.650000,17.860001,6.110569,76084700
2018-07-06,17.969999,18.090000,17.650000,17.940001,6.137939,33878700
2018-07-10,18.340000,18.350000,17.549999,17.750000,6.072934,70886200
2018-07-11,17.490000,18.080000,17.299999,17.410000,5.956608,85806300
2018-07-12,17.620001,18.020000,17.520000,17.950001,6.141362,49397900
2018-07-13,17.990000,18.180000,17.780001,18.110001,6.196104,44951900
2018-07-16,17.950001,17.980000,17.600000,17.879999,6.117411,62798900
2018-07-17,17.790001,18.400000,17.709999,18.290001,6.257687,40884300
2018-07-18,18.250000,18.400000,17.940001,18.049999,6.175574,40643800
2018-07-19,17.840000,18.400000,17.740000,18.400000,6.295321,60404900
2018-07-20,19.170000,19.480000,18.930000,19.290001,6.599826,98035200
2018-07-23,19.299999,19.469999,19.209999,19.260000,6.589561,35231500
2018-07-24,19.570000,19.870001,19.530001,19.660000,6.726414,39934600
2018-07-25,19.799999,20.000000,19.610001,19.959999,6.829057,48759900
2018-07-26,19.950001,19.950001,19.370001,19.410000,6.640880,48144300
2018-07-27,19.600000,19.809999,19.549999,19.770000,6.764050,36509400
2018-07-30,19.950001,20.100000,19.700001,19.889999,6.805107,37053900
2018-07-31,19.620001,19.790001,19.469999,19.719999,6.746943,38641200
2018-08-01,19.590000,20.010000,19.540001,20.010000,6.846162,39141700
2018-08-02,19.990000,20.780001,19.950001,20.410000,6.983018,69008900
2018-08-03,21.400000,21.549999,21.090000,21.110001,7.222513,86908000
2018-08-06,21.150000,21.469999,20.980000,21.040001,7.198565,44528300
2018-08-07,21.330000,21.459999,20.570000,20.709999,7.085659,69136700
2018-08-08,20.809999,21.070000,20.120001,20.139999,6.890642,58211500
2018-08-09,20.260000,20.350000,19.799999,20.340000,6.959068,51253100
2018-08-10,20.100000,20.150000,19.360001,19.590000,6.702465,61789800
2018-08-13,19.500000,20.040001,19.270000,20.040001,6.856428,58306700
2018-08-14,20.280001,20.309999,19.730000,19.980000,6.852998,55180600
2018-08-15,19.639999,19.670000,19.049999,19.049999,6.534015,65651700
2018-08-16,19.320000,19.350000,18.770000,18.950001,6.499715,51201600
2018-08-17,18.750000,18.860001,18.400000,18.459999,6.331648,68328400
2018-08-20,18.370001,18.510000,18.090000,18.360001,6.297349,56315600
2018-08-21,18.270000,18.530001,17.650000,17.719999,6.077833,68735300
2018-08-22,17.700001,18.379999,17.650000,18.350000,6.293920,56623700
2018-08-23,18.350000,18.520000,17.879999,17.950001,6.156722,56284100
2018-08-24,18.350000,18.440001,18.049999,18.299999,6.276769,37893000
2018-08-27,18.410000,18.760000,18.299999,18.709999,6.417395,35428000
2018-08-28,18.760000,18.850000,18.340000,18.350000,6.293920,38079200
2018-08-29,18.500000,19.309999,18.450001,19.299999,6.619762,71434300
2018-08-30,19.150000,19.540001,18.680000,18.799999,6.448266,63981900
2018-08-31,18.950001,19.430000,18.910000,19.260000,6.606043,75767400
2018-09-03,18.990000,19.129999,18.760000,19.000000,6.516864,25401600
2018-09-04,19.129999,19.190001,18.620001,18.650000,6.396817,39759800
2018-09-05,18.559999,18.799999,18.230000,18.750000,6.431116,53967300
2018-09-06,18.990000,19.020000,18.480000,18.990000,6.513435,54304300
2018-09-10,19.360001,19.600000,19.049999,19.260000,6.606043,58578100
2018-09-11,18.870001,18.889999,18.430000,18.500000,6.345368,56495200
2018-09-12,18.809999,19.219999,18.639999,18.950001,6.499715,59695700
2018-09-13,19.030001,19.129999,18.620001,18.709999,6.417395,36808700
2018-09-14,18.799999,18.959999,18.480000,18.790001,6.444837,55756300
2018-09-17,18.629999,19.490000,18.629999,19.400000,6.654061,71289500
2018-09-18,19.500000,20.250000,19.469999,20.250000,6.945605,72959100
2018-09-19,19.930000,20.459999,19.830000,19.980000,6.852998,60563700
2018-09-20,20.260000,20.350000,19.750000,19.870001,6.815268,56206900
2018-09-21,20.150000,20.299999,19.950001,20.139999,6.907876,58517300
2018-09-24,20.200001,20.410000,19.920000,20.000000,6.859859,54332900
2018-09-25,19.700001,20.150000,19.530001,20.080000,6.887298,54462300
